text,label
Halsey Sick Social Media comment look Unhealthy,Entertainment
Alison Leiby Abortion Big Deal hard talk,Entertainment
Trevor Noah shred Flag Placement Madison Cawthorn Humping Video reply,Entertainment
Gwyneth Paltrow Schools Fan claim Kourtney Kardashian rip Goop,Entertainment
Kate McKinnon Mocks Amy Coney Barrett plop Babies Ferris Wheels SNL,Entertainment
Staircase filmmaker betray damaging New HBO Max Series,Entertainment
Avatar Teaser Trailer finally,Entertainment
George Carlin Nailed Conservative Hypocrisy Abortion year ago,Entertainment
Dana Carvey tell Wild Story Gun Toting Mickey Rooney Sitcom,Entertainment
Kate McKinnon Mocks Amy Coney Barrett plop Babies Ferris Wheels SNL,Entertainment
Georgia GOP Attorney General Primary big lie battleground,Entertainment
War White Gold North Carolina,Entertainment
Trump Reportedly consider quit Presidential Race Tape surface,Entertainment
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Entertainment
Brooklyn Half Marathon Runner Collapses die cross finish line,Entertainment
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Entertainment
Kanye West tell Kim Kardashian career dress like Marge Simpson,Entertainment
Amber Heard Testifies Johnny Depp Sexually assault Bottle,Entertainment
Jesse Williams Nude Images leak Broadway play,Entertainment
therapist Amber Heard PTSD Alleged Sex Assaults Johnny Depp real,Entertainment
Amber Heard Describes Alleged Abusive relationship Johnny Depp,Entertainment
Jimmy Kimmel live Audience Howls Guest host well,Entertainment
suspect Dave Chappelle Attack accuse try Murder Roommate,Entertainment
Staircase filmmaker betray damaging New HBO Max Series,Entertainment
Porn Star Protagonist pleasure woman Fascinating Contradictions,Entertainment
Georgia GOP Attorney General Primary big lie battleground,Entertainment
War White Gold North Carolina,Entertainment
Trump Reportedly consider quit Presidential Race Tape surface,Entertainment
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Entertainment
Brooklyn Half Marathon Runner Collapses die cross finish line,Entertainment
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Entertainment
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Entertainment
Pete Davidson get surprisingly sentimental SNL farewell,Entertainment
Teary Kate McKinnon Climbs Spaceship Bids Farewell earth SNL episode,Entertainment
City Girls JT reveal Megan Thee Stallion try signal Wardrobe Malfunction,Entertainment
Georgia GOP Attorney General Primary big lie battleground,Entertainment
War White Gold North Carolina,Entertainment
Trump Reportedly consider quit Presidential Race Tape surface,Entertainment
Brooklyn Half Marathon Runner Collapses die cross finish line,Entertainment
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Entertainment
Biden say Monkeypox Cases concerned,Entertainment
Johnny Depp Slow Burnout,Entertainment
real world New Orleans Star Melissa Beck give Comic Relief,Entertainment
Ozzy Sharon Osbourne Daughter Flees Recording Studio Fire kill,Entertainment
sebastian Stan Shades Musk want Space Anymore,Entertainment
SNL stampede Pete Davidson Kate McKinnon Aidy Bryant Kyle Mooney Reportedly Exiting,Entertainment
go Anna Delvey art Whiteness work,Entertainment
