,cleanTitle,category
0,Captive Medic Bodycam show Firsthand Horror Mariupol,World News
1,Russia fire senior commander mean Ukraine War,World News
2,LinkedIn Settles Alleged Pay discrimination,Business
3,Starbucks Workers unionize Stores,Business
4,Red Cross Registers Hundreds ukrainian pow Mariupol,World News
5,Georgia GOP Attorney General Primary big lie battleground,World News
6,War White Gold North Carolina,World News
7,Amazon Union lose Election Staten Island Warehouse,Business
8,McDonald leave Millions dollar russian food use,Business
9,Georgia GOP Attorney General Primary big lie battleground,Business
10,War White Gold North Carolina,Business
11,Trump Reportedly consider quit Presidential Race Tape surface,World News
12,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
13,Brooklyn Half Marathon Runner Collapses die cross finish line,World News
14,Trump Reportedly consider quit Presidential Race Tape surface,Business
15,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Business
16,Brooklyn Half Marathon Runner Collapses die cross finish line,Business
17,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
18,North Korea Suspected Outbreak Nears million,World News
19,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Business
20,OSHA tell Amazon improve Severe Weather Safety follow Warehouse Collapse,Business
21,Jeff Bezos Questions China Leverage Elon Musk Twitter Sale,Business
22,Jack Dorsey say Elon Musk Singular Solution Twitter,Business
23,australian Prime Minister Tackles Child campaign event Viral Clip,World News
24,China Eastern Plane Crash intentional official find report,World News
25,russian soldier plead Guilty Ukraine War Crimes Trial kill Civilian,World News
26,russian Gymnast ban wear Pro war z symbol ukrainian Rival,World News
27,Ukraine Hopes Swap Steel Mill Fighters russian pow,World News
28,Elon Musk buy Twitter billion,Business
29,Elon Musk Twitter Reportedly Purchase Talks,Business
30,Federal Officials Sue Starbucks reinstate Fired Union activist,Business
31,Finland Sweden Submit Applications join NATO,World News
32,Jon Gosselin Attempts Comeback particularly excited,Entertainment
33,New York Man accost Central Park Karen get tv series,Entertainment
34,Mike Myers tell Dana Carvey help Sad Moment SNL,Entertainment
35,Colin Firth write Fan Letter Favorite Darcy Matthew Macfadyen,Entertainment
36,Georgia GOP Attorney General Primary big lie battleground,Entertainment
37,War White Gold North Carolina,Entertainment
38,Trump Reportedly consider quit Presidential Race Tape surface,Entertainment
39,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Entertainment
40,Brooklyn Half Marathon Runner Collapses die cross finish line,Entertainment
41,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Entertainment
42,Ricky Gervais Seth Meyers lose Penis Exchange Late Night,Entertainment
43,love Victor Season Trailer Teases Poignant End pioneer Queer Teen Series,Entertainment
44,Tim McGraw Admits Faith Hill wish shower set,Entertainment
45,Colored girl continue Black Women North Star,Entertainment
46,Funniest Tweets cat Dogs week,Entertainment
47,Kenan Thompson try final Samuel Jackson Ban SNL,Entertainment
48,Queen Elizabeth make Special Appearance London Tube stop,World News
49,Worth shot Pope Francis say need Tequila sore knee,World News
50,belgian Court rule extradition Spanish Rapper,World News
51,Georgia GOP Attorney General Primary big lie battleground,World News
52,War White Gold North Carolina,World News
53,Trump Reportedly consider quit Presidential Race Tape surface,World News
54,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
55,Brooklyn Half Marathon Runner Collapses die cross finish line,World News
56,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
57,Mariupol Pregnant Woman Viral Photo tell story,World News
58,Mariupol Fighters russian hand Sides claim win,World News
59,Prince William make Home visit Bowel Babe Special Reason,World News
60,Independent Probe show Israel responsible Killing Journalist,World News
61,Sweden poise join Finland seek NATO membership,World News
62,McDonald sell russian Business try worker,World News
63,Small Wins Buoy Ukraine West say Russians Losing Momentum,World News
64,late Disclosures conceal extent Amazon Anti union campaign,Business
65,Netflix Subscriber Troubles mean Streaming Platforms,Business
66,Musk say billion financing Ready buy Twitter,Business
67,Starbucks Union spread Virginia election victory,Business
68,Georgia GOP Attorney General Primary big lie battleground,Business
69,War White Gold North Carolina,Business
70,Trump Reportedly consider quit Presidential Race Tape surface,Business
71,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Business
72,Brooklyn Half Marathon Runner Collapses die cross finish line,Business
73,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Business
74,Elon Musk boast Tesla SpaceX Boring Philanthropy,Business
75,New Lawsuit Tussle Elon Musk Tesla Investors raise Red Flags Twitter Deal,Business
76,Starbucks Union Campaign Bruising Contract Fight begin,Business
77,Elon Musk offer buy Twitter,Business
78,Starbucks Union Campaign Won election lose,Business
79,Hertz CEO vow Fix Glitch falsely accuse customer Stealing car,Business
80,Rebel Wilson say Costar Sexually harass try destroy career,Entertainment
81,John Mulaney Blunt Fact Check Robin Williams,Entertainment
82,Ed Sheeran Cherry Seaborn moon welcome second child,Entertainment
83,Ellen Barkin recall Johnny Depp Sex Scratch Suspicion Throwing Bottle,Entertainment
84,Georgia GOP Attorney General Primary big lie battleground,Entertainment
85,War White Gold North Carolina,Entertainment
86,Trump Reportedly consider quit Presidential Race Tape surface,Entertainment
87,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Entertainment
88,Brooklyn Half Marathon Runner Collapses die cross finish line,Entertainment
89,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Entertainment
90,Forrest Gump background Photo Queen,Entertainment
91,Tom Cruise say get lot Common Prince William,Entertainment
92,Stephen Colbert dunk Giuliani Absolutely Perfect Job Offer,Entertainment
93,Samantha Bee Bleeped big Time torch Attack Abortion Rights,Entertainment
94,Viola Davis say Director call Maid,Entertainment
95,Jennifer Lopez break Oscars Snub Netflix Documentary Trailer,Entertainment
96,North Korea report death Kim Laments Virus response,World News
97,Major Tar Sands Pipeline Project Threatens Indigenous Land Rights,World News
98,Finland Announces want join NATO amid Russia Ukraine Invasion,World News
99,Georgia GOP Attorney General Primary big lie battleground,World News
100,War White Gold North Carolina,World News
101,Trump Reportedly consider quit Presidential Race Tape surface,World News
102,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
103,Brooklyn Half Marathon Runner Collapses die cross finish line,World News
104,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
105,warn Global Food Crisis Russia unblock Ukraine grain,World News
106,Ukraine appear Won Battle Kharkiv enter New Phase War,World News
107,Russia suffer Heavy Losses Failed River Crossing official,World News
108,Queen Elizabeth make Public Appearance week Horse,World News
109,Funeral Journalist kill israeli Raid Disrupted israeli Police,World News
110,mother Ukraine want Kids safe,World News
111,Kim Jong Un Lookalike Disrupts australian election campaign,World News
112,Biden Labor Appointee Pursues Ban Anti Union meeting work,Business
113,Amazon Reportedly Mulling Worker Chat App Ban word like restroom diversity,Business
114,Amazon Workers Beat Union Busters game,Business
115,tesla CEO Elon Musk Buys Stake Twitter,Business
116,Georgia GOP Attorney General Primary big lie battleground,Business
117,War White Gold North Carolina,Business
118,Trump Reportedly consider quit Presidential Race Tape surface,Business
119,Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,Business
120,Brooklyn Half Marathon Runner Collapses die cross finish line,Business
121,apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,Business
122,Applebee Franchisee fire employee send email exploit worker,Business
123,Skippy recall pound Reduced Fat Peanut Butter,Business
124,Alaska Airlines cancel Dozens Flights Pilots picket,Business
125,Amazon Union Historic Upset,Business
126,Disney CEO Iger Opposing Florida Gay Bill political,Business
127,result Unclear Amazon Union Election Alabama,Business
128,queer Folk ready Grapple Modern LGBTQ issue,Entertainment
