,title,category
0,Captive Medic's Bodycam Shows Firsthand Horror Of Mariupol,World News
1,Russia Is Firing Its Senior Commanders. What Does That Mean For Ukraine War?,World News
2,LinkedIn Settles With U.S. Over Alleged Pay Discrimination,Business
3,Starbucks Workers Have Unionized More Than 50 Stores In The U.S.,Business
4,Red Cross Registers Hundreds Of Ukrainian POWs From Mariupol,World News
5,Georgia’s GOP Attorney General Primary Is The Next 'Big Lie' Battleground,World News
6,The War Over 'White Gold' In North Carolina,World News
7,Amazon Union Loses Election At Staten Island Warehouse,Business
8,McDonald's Left With Millions Of Dollars Of Russian Food It Can't Use. Here’s Why.,Business
9,Georgia’s GOP Attorney General Primary Is The Next 'Big Lie' Battleground,Business
10,The War Over 'White Gold' In North Carolina,Business
11,Trump Reportedly Considered Quitting First Presidential Race After 'P***y' Tape Surfaced,World News
12,"Natasha Lyonne Brings Out Ex Fred Armisen For 'SNL' Monologue, Jokes About Sex Tape",World News
13,"Brooklyn Half-Marathon Runner Collapses, Dies After Crossing Finish Line",World News
14,Trump Reportedly Considered Quitting First Presidential Race After 'P***y' Tape Surfaced,Business
15,"Natasha Lyonne Brings Out Ex Fred Armisen For 'SNL' Monologue, Jokes About Sex Tape",Business
16,"Brooklyn Half-Marathon Runner Collapses, Dies After Crossing Finish Line",Business
17,"Apparently-Ailing Putin Surrounded By Docs, Kremlin In 'Chaos,' Says Ex Brit Intel Official",World News
18,North Korea's Suspected COVID-19 Outbreak Nears 2 Million,World News
19,"Apparently-Ailing Putin Surrounded By Docs, Kremlin In 'Chaos,' Says Ex Brit Intel Official",Business
20,OSHA Tells Amazon To Improve Severe Weather Safety Following Warehouse Collapse,Business
21,Jeff Bezos Questions China's Leverage Over Elon Musk After Twitter Sale,Business
22,Jack Dorsey Says Elon Musk Is 'The Singular Solution' For Twitter,Business
23,Australian Prime Minister Tackles Child At Campaign Event In Viral Clip,World News
24,"China Eastern Plane Crash Could Have Been Intentional, U.S. Officials Find: Report",World News
25,Russian Soldier Pleads Guilty At First Ukraine War Crimes Trial To Killing Civilian,World News
26,Russian Gymnast Banned For Wearing Pro-War 'Z' Symbol Next To Ukrainian Rival,World News
27,Ukraine Hopes To Swap Steel Mill Fighters For Russian POWs,World News
28,Elon Musk Buys Twitter For $44 Billion,Business
29,"Elon Musk, Twitter Reportedly In Purchase Talks",Business
30,Federal Officials Sue Starbucks To Reinstate Fired Union Activists,Business
31,"Finland, Sweden Submit Applications To Join NATO",World News
32,Jon Gosselin Attempts Comeback That No One Is Particularly Excited About,Entertainment
33,New York Man Accosted By 'Central Park Karen' Gets His Own TV Series,Entertainment
34,Mike Myers Tells How Dana Carvey Helped Him Through 'Very Sad' Moment On 'SNL',Entertainment
35,Colin Firth Once Wrote 'Fan Letter' To 'Favorite Darcy' Matthew Macfadyen,Entertainment
36,Georgia’s GOP Attorney General Primary Is The Next 'Big Lie' Battleground,Entertainment
37,The War Over 'White Gold' In North Carolina,Entertainment
38,Trump Reportedly Considered Quitting First Presidential Race After 'P***y' Tape Surfaced,Entertainment
39,"Natasha Lyonne Brings Out Ex Fred Armisen For 'SNL' Monologue, Jokes About Sex Tape",Entertainment
40,"Brooklyn Half-Marathon Runner Collapses, Dies After Crossing Finish Line",Entertainment
41,"Apparently-Ailing Putin Surrounded By Docs, Kremlin In 'Chaos,' Says Ex Brit Intel Official",Entertainment
42,Ricky Gervais And Seth Meyers Lose It Over Penis Exchange On 'Late Night',Entertainment
43,"'Love, Victor' Season 3 Trailer Teases Poignant End For Pioneering Queer Teen Series",Entertainment
44,Tim McGraw Admits Faith Hill Wished He Showered More On '1883' Set,Entertainment
45,'For Colored Girls' Continues To Be Black Women's North Star,Entertainment
46,21 Of The Funniest Tweets About Cats And Dogs This Week,Entertainment
47,Kenan Thompson Tries To Get Final Say On Samuel L. Jackson's Ban From 'SNL',Entertainment
48,Queen Elizabeth Makes Special Appearance At London Tube Stop,World News
49,Worth A Shot: Pope Francis Says He Needs Some Tequila For Sore Knee,World News
50,Belgian Court Rules Out Extradition For Spanish Rapper,World News
51,Georgia’s GOP Attorney General Primary Is The Next 'Big Lie' Battleground,World News
52,The War Over 'White Gold' In North Carolina,World News
53,Trump Reportedly Considered Quitting First Presidential Race After 'P***y' Tape Surfaced,World News
