text,label
Captive Medic Bodycam show Firsthand Horror Mariupol,World News
Russia fire senior commander mean Ukraine War,World News
Red Cross Registers Hundreds ukrainian pow Mariupol,World News
Georgia GOP Attorney General Primary big lie battleground,World News
War White Gold North Carolina,World News
Trump Reportedly consider quit Presidential Race Tape surface,World News
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
Brooklyn Half Marathon Runner Collapses die cross finish line,World News
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
North Korea Suspected Outbreak Nears million,World News
australian Prime Minister Tackles Child campaign event Viral Clip,World News
China Eastern Plane Crash intentional official find report,World News
russian soldier plead Guilty Ukraine War Crimes Trial kill Civilian,World News
russian Gymnast ban wear Pro war z symbol ukrainian Rival,World News
Ukraine Hopes Swap Steel Mill Fighters russian pow,World News
Finland Sweden Submit Applications join NATO,World News
Queen Elizabeth make Special Appearance London Tube stop,World News
Worth shot Pope Francis say need Tequila sore knee,World News
belgian Court rule extradition Spanish Rapper,World News
Georgia GOP Attorney General Primary big lie battleground,World News
War White Gold North Carolina,World News
Trump Reportedly consider quit Presidential Race Tape surface,World News
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
Brooklyn Half Marathon Runner Collapses die cross finish line,World News
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
Mariupol Pregnant Woman Viral Photo tell story,World News
Mariupol Fighters russian hand Sides claim win,World News
Prince William make Home visit Bowel Babe Special Reason,World News
Independent Probe show Israel responsible Killing Journalist,World News
Sweden poise join Finland seek NATO membership,World News
McDonald sell russian Business try worker,World News
Small Wins Buoy Ukraine West say Russians Losing Momentum,World News
North Korea report death Kim Laments Virus response,World News
Major Tar Sands Pipeline Project Threatens Indigenous Land Rights,World News
Finland Announces want join NATO amid Russia Ukraine Invasion,World News
Georgia GOP Attorney General Primary big lie battleground,World News
War White Gold North Carolina,World News
Trump Reportedly consider quit Presidential Race Tape surface,World News
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
Brooklyn Half Marathon Runner Collapses die cross finish line,World News
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
warn Global Food Crisis Russia unblock Ukraine grain,World News
Ukraine appear Won Battle Kharkiv enter New Phase War,World News
Russia suffer Heavy Losses Failed River Crossing official,World News
Queen Elizabeth make Public Appearance week Horse,World News
Funeral Journalist kill israeli Raid Disrupted israeli Police,World News
mother Ukraine want Kids safe,World News
Kim Jong Un Lookalike Disrupts australian election campaign,World News
Ukraine Puts russian soldier accuse War Crime Trial,World News
Explosive Outbreak North Korea alarm,World News
russian Threats push Finland join NATO Alliance,World News
Georgia GOP Attorney General Primary big lie battleground,World News
War White Gold North Carolina,World News
Trump Reportedly consider quit Presidential Race Tape surface,World News
Natasha Lyonne bring Ex Fred Armisen SNL Monologue joke sex tape,World News
Brooklyn Half Marathon Runner Collapses die cross finish line,World News
apparently ailing Putin surround Docs Kremlin Chaos say Ex brit Intel Official,World News
United States Host Rugby World Cup Time,World News
Palestinians Mourn Al Jazeera journalist israeli Soldiers kill,World News
finland want join NATO consider membership,World News
Russia continue Steel Mill Airstrikes Ukraine Seeks Deal,World News
Pussy Riot Activists reveal foolproof way snuck Russia,World News
Finland leader Favor apply NATO membership,World News
North Korea Orders Nationwide Lockdown confirm case,World News
Slain Al Jazeera Journalist Icon Palestinian Coverage,World News
Prince William get candid live Grief New Speech,World News
Ukrainians stop russian gas hub gain East,World News
Georgia GOP Attorney General Primary big lie battleground,World News
War White Gold North Carolina,World News
Trump Reportedly consider quit Presidential Race Tape surface,World News
